country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2001,86.9,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2002,87,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2003,87.1,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2004,87.1,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2005,87.2,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2006,87.2,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2007,87.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2008,87.3,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2009,87.4,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2010,87.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2011,87.5,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2012,87.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2013,87.6,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2014,87.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2015,87.7,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2016,87.8,Female,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2001,85.9,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2002,86.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2003,86.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2004,86.4,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2005,86.6,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2006,86.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2007,87,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2008,87.1,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2009,87.3,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2010,87.5,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2011,87.7,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2012,87.8,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
Afghanistan,AF,AFG,4,Insufficient physical activity among school going adolescents,2013,88,Male,Units,%,Estimated value,Free,End of fieldwork,11 to 17 years old
